study_id,reference,title,year,intervention_category,intervention_technique,type_experiment,environmental_context,economic_cost,cultural_meaning,behavior_scrutiny,suitable_for_longitudinal,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,effect_size,effect_label,variance_d,ci_lower,ci_upper
Arana_1,Arana & Leon (2012),Can defaults save the climate? Evidence from a field experiment on carbon offsetting programs,2012,structure,default,natural_field,Green transportation,low,high,medium,1,"You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. You have the option to add a small carbon offset contribution to your conference fee. This supports verified environmental projects such as reforestation and clean energy. If you want to participate, you can check a box to add. The future is built by choices we make today — join us in supporting a greener planet.","You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. Your registration fee already includes a small carbon offset contribution that helps fund verified environmental projects like forest protection and renewable energy. If you prefer not to support the carbon offset program, you may uncheck the contribution. The future is built by choices we make today — thank you for joining us in building a more sustainable world.",Would you like to add the carbon offset contribution to your registration?,"Yes, I want to support climate action. (1); No, I prefer not to contribute. (0)",1680,1680,856,824,1,0.45,,0.57,,0.2406,1,0.0024,0.1445817664728938,0.3366182335271062
Bamberg_1,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green transportation,medium,medium,medium,1,"You are taking part in a test of a new university circular bus route. You receive a test ticket and are asked to make one trip on the route within the next seven days. After the trip, you are to return the cancelled ticket together with the completed test protocol.","You are taking part in a test of a new university circular bus route. You receive a test ticket and are asked to make one trip on the route within the next seven days. After the trip, you are to return the cancelled ticket together with the completed test protocol. Before the seven-day period begins, decide and write down the exact day, time, and boarding stop for your trip.","At the end of the seven-day period, did you make the bus trip and return the cancelled ticket with the completed test protocol?","Yes, I did (1); No, I did not (0)",90,90,45,45,1,0.311,,0.533,,0.4541,1,0.0456,0.035566223318055,0.872633776681945
Bamberg_2,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,medium,medium,medium,1,"A research assistant tells you about a local organic food shop called Klatschmohn. You are asked to act as a test buyer and to buy organic food at least once within the next 7 days at this shop. You will receive a voucher worth 2.5 Euros that can be used when making the purchase.","A research assistant tells you about a local organic food shop called Klatschmohn. You are asked to act as a test buyer and to buy organic food at least once within the next 7 days at this shop. You will receive a voucher worth 2.5 Euros that can be used when making the purchase. From experience, people are more likely to follow through on their intention if they decide in advance exactly when they will act. Please think about the exact day and time within the next 7 days when you will go to the shop.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)",159,159,79,80,1,0.342,,0.5,,0.3215,1,0.0255,0.0085188505233898,0.6344811494766102
Bamberg_3,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,medium,medium,medium,1,"A research assistant invites you to be a test buyer at a local organic food shop called Klatschmohn. You receive a €7.50 voucher and are asked to use it to buy something at the shop once within the next seven days, then return the completed test protocol.","A research assistant invites you to be a test buyer at a local organic food shop called Klatschmohn. You receive a €7.50 voucher and are asked to use it to buy something at the shop once within the next seven days, then return the completed test protocol. Before the seven-day period begins, decide and write down the exact day and time when you will go to the shop.","At the end of the seven-day period, did you use the voucher to make a purchase at Klatschmohn and return the completed test protocol?","Yes, I did (1); No, I did not (0)",160,160,81,79,1,0.543,,0.608,,0.1316,1,0.0251,-0.1789166926260528,0.4421166926260528
Bohm_1,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,information,translation,conventional_lab,Environmental donation,medium,high,high,1,"Our city is at a moderate level in environmental ratings (currently scoring 0), but we can do better. If everyone donates, the environmental score will increase by 50 points, making the city greener. Your donation will be doubled by the government, doubling its impact. Now is our opportunity to improve the urban environment together.","Our city's environmental rating is lower than the national average (current score -50) and urgently needs improvement. If everyone donates, the environmental score will increase by 50 points and the city will return to green standards. Your donation will be doubled by the government, doubling its impact. This isn’t just about numbers — it’s about your neighborhood, your health, your children's future. Together, we can turn things around — but only if we act now.",How much money would you like to contribute to improve environmental friendliness in your city?,Please output any amount from 0 to 100 Euros (continuous scale).,167,167,84,83,0,50.86,34.19,60.96,35.24,0.2909,1,0.0242,-0.0139988413569291,0.5957988413569291
Broman_1,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Switzerland. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will not be installed by default. To request installation, select “Agree” on the website.","You live in Switzerland. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will be installed by default. To decline installation, select “Do not agree” on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",945,945,473,472,1,0.47,,0.74,,0.5607,1,0.0044,0.4306906972134141,0.6907093027865858
Broman_2,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Denmark. Your electricity company can install a smart meter with remote-control functionality in your home at no additional cost. On a survey page, the decision is framed as the statement: “Yes, I agree to have a smart meter with remote control installed in my home.”","You live in Denmark. Your electricity company can install a smart meter with remote-control functionality in your home at no additional cost. On a survey page, the decision is framed as the statement: “No, I would not like to have a smart meter with remote control installed in my home.”",What is your decision about the installation?,Have the smart meter installed (1); Do not have it installed (0),956,956,478,478,1,0.6,,0.79,,0.4174,1,0.0043,0.288876566615326,0.545923433384674
Broman_3,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,low,medium,low,0,"You live in Norway. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will not be installed by default. To request installation, select “Agree” on the website.","You live in Norway. Your electricity company offers to install a smart meter with remote-control functionality at no additional cost. The meter will be installed by default. To decline installation, select “Do not agree” on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",901,901,451,450,1,0.58,,0.76,,0.3862,1,0.0045,0.2547216189135127,0.5176783810864872
Bruns_1,Bruns et al. (2018),Can nudges be transparent and yet effective?,2018,structure,default,conventional_lab,Green transportation,low,high,medium,1,You receive €10 in a decision-making experiment. You decide how much of it to contribute to a climate protection fund; the remainder stays with you. An actual organization will use the contribution to retire carbon-emission allowances. The screen contains an empty amount field in which you can enter any whole-euro contribution from €0 to €10.,You receive €10 in a decision-making experiment. You decide how much of it to contribute to a climate protection fund; the remainder stays with you. An actual organization will use the contribution to retire carbon-emission allowances. The screen offers a one-click “Contribute €8” button and a “Different amount” button that opens a field for any whole-euro contribution from €0 to €10.,"Using the screen described, what whole-euro contribution would you submit?",Enter one whole number from 0 to 10.,256,256,85,171,0,1.82,2.66,2.95,2.98,0.3926,1,0.0179,0.1303746905990483,0.6548253094009517
Camilleri_1,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,high,low,low,1,"You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel consumption 5.0 gallons per 100 miles. Vehicle B—price $21,000; fuel consumption 4.0 gallons per 100 miles.","You are choosing one of two vehicles to purchase and gasoline costs $4.00 per gallon. The display shows: Vehicle A—price $18,000; fuel cost $20 per 100 miles. Vehicle B—price $21,000; fuel cost $16 per 100 miles.",Which vehicle would you purchase?,Vehicle B (1); Vehicle A (0),424,282,141,141,1,0.587,,0.751,,0.351,1,0.0144,0.1158043218551935,0.5861956781448064
