study_id,reference,title,year,environmental_context,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_comparison,n_control,n_intervention,binary_outcome,ATE,Robust_SE,significance_binary,gpt35_llm_ATE,gpt35_llm_Robust_SE,gpt35_llm_p_value,deepseekv3_llm_ATE,deepseekv3_llm_Robust_SE,deepseekv3_llm_p_value,claudehaiku45_llm_ATE,claudehaiku45_llm_Robust_SE,claudehaiku45_llm_p_value,gpt4o_llm_ATE,gpt4o_llm_Robust_SE,gpt4o_llm_p_value,deepseekv4flash_llm_ATE,deepseekv4flash_llm_Robust_SE,deepseekv4flash_llm_p_value,gpt54_llm_ATE,gpt54_llm_Robust_SE,gpt54_llm_p_value
Allcott_1,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,You are participating in a household electricity usage study. ,"This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (pretreatment, kWh)",83037,49290,33747,0,-0.004,0.071,0,0.5058333333333334,0.761583291157179,0.5073220446396878,-0.5350000000000001,0.3446178210635175,0.1224866657064929,1.8434999999999988,0.6596082666345542,0.0055852766180699,0.9261666666666653,0.3510918094194328,0.0088102004318872,-0.3766666666666669,0.501967579926123,0.4539546817520694,-0.3976666666666677,0.2645958212458567,0.1345185821279422
Allcott_2,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (first year, kWh)",83037,49290,33747,0,-0.642,0.094,1,-3.961944444444443,0.2591920515284686,0.0,-2.690361111111109,0.1088528250067645,0.0,-1.459075000000002,0.2632635705387507,3.791334934888369e-08,0.004027777777777,0.1414947701029837,0.9772962660005956,-2.577222222222222,0.1786283029643124,0.0,-1.4670555555555556,0.0916705280653472,0.0
Allcott_3,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (second year until drop, kWh)",83037,49290,33747,0,-0.84,0.104,1,-6.627499999999999,0.292339107208066,0.0,-2.8060277777777785,0.1178943458023402,0.0,-5.58817777777778,0.2745093401028985,0.0,-0.0794166666666669,0.1295897721508276,0.5401298667982504,-5.825555555555556,0.1882369166873258,0.0,-4.073305555555555,0.0936433962741467,0.0
Allcott_4,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"{% if group == ""continued"" %}
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}
{% else %}  {# dropped group #}
You used to receive a monthly household energy report, but these reports are no longer being sent.  
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (post-drop, kWh)",83037,49290,33747,0,-0.627,0.123,1,-7.824428611111111,0.2902251188645213,0.0,-3.409388888888889,0.1199766158368623,0.0,-6.628134722222223,0.2844884602187719,0.0,0.3835555555555547,0.1513550462119268,0.0113944047045075,-7.805552777777778,0.2082943084074402,0.0,-6.43241375,0.0996739407257312,0.0
Allcott_5,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,You are participating in a household electricity usage study. ,"This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (pretreatment, kWh)",33747,12117,21630,0,-0.007,0.055,0,-0.286999999999999,0.8997070822742815,0.7500687874596037,0.2900000000000009,0.3387762687517534,0.3931858702185979,-1.7316666666666674,0.9056149667565506,0.0573092126971572,-0.3510000000000008,0.5176602534936771,0.4985360274102253,-0.5866666666666678,0.5608373389523806,0.2968251872339709,0.2059999999999995,0.2964421236260674,0.4879352497291349
Allcott_6,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (first year, kWh)",33747,12117,21630,0,0.002,0.066,0,-1.3508888888888908,0.202253467247674,3.670042048042888e-11,0.0597222222222235,0.140588837493474,0.6710583933121625,-2.846150000000001,0.255886870563846,0.0,0.057166666666669,0.1395974564949115,0.6822397659141255,-1.0589999999999993,0.0956785431688349,0.0,-0.2727777777777769,0.0890615401506466,0.002241681134403
Allcott_7,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (second year until drop, kWh)",33747,12117,21630,0,-0.039,0.08,0,-1.719777777777777,0.2301959851844624,1.532107773982716e-13,-0.0069444444444464,0.1646549988688064,0.9663656629281048,-2.1177222222222216,0.2962700967585333,1.5487611193520934e-12,0.0979444444444439,0.1261843681685258,0.4377869476965614,-1.2745555555555557,0.1174357348374592,0.0,-0.0516111111111117,0.1071017393643426,0.6299738149366405
Allcott_8,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"You used to receive a monthly household energy report, but these reports are no longer being sent.  
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh.","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (post-drop, kWh)",33747,12117,21630,0,-0.38,0.093,1,-2.504587222222221,0.2593141450888277,0.0,0.411666666666667,0.1671162473384539,0.0139042432162317,-2.770619444444443,0.3257142498241015,0.0,-1.3385555555555566,0.1751824430207294,5.129230373768223e-14,-3.1114500000000005,0.1398141547255174,0.0,-0.1738391666666667,0.105825491019784,0.1007088096497323
Paunov_1,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. nudge (cumulative electricity, kWh)",43,21,22,0,0.4049,0.2244,1,-2.3227547575836125,0.6855357256171742,0.0010548804786358,7.731362561576354,0.5389156887692108,0.0,-1.6102689655172415,0.6964078988108604,0.02289337493693,3.991875862068965,0.6953156070365349,2.5107667456225613e-07,4.039368472906405,0.8945946823036829,1.8352026148527045e-05,0.22595615763546206,0.9669637887167585,0.8158132086611198
Paunov_2,Paunov & Grüne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","nudge vs. boost (cumulative electricity, kWh)",44,22,22,0,-0.6507,0.2229,1,1.926404433497536,0.6641653602725388,0.0046817090075816,-7.639145812807881,0.5537293756061287,0.0,0.8848551724137952,0.7463664170698268,0.2388368833120533,-4.337688669950738,0.672050159553626,2.171513791004997e-08,-4.969532019704435,0.8961829184945819,2.682683037935618e-07,-3.5567536945812748,1.1302243245725596,0.0021869562183978175
